selection_item_type,selection_item_code,language_code,selection_item_name,selection_item_short_name,display_order,remarks
dd_status,dd_ai_completed,eng,DD AI Process Completed,AI DD Completed,9,
dd_status,dd_ai_completed,jpn,デューデリジェンスAI処理完了,DDAI処理完了,9,
dd_status,dd_review_completed,eng,DD Review Completed,DD Review Completed,10,
dd_status,dd_review_completed,jpn,デューデリジェンス再鑑完了,DD再鑑完了,10,
dd_status,dd_approval_completed,eng,DD Approval Completed,DD Approval Completed,11,
dd_status,dd_approval_completed,jpn,デューデリジェンス承認完了,DD承認完了,11,
dd_status,cdd_awaiting,eng,Continuous DD Awaiting,CDD Awaiting,12,
dd_status,cdd_awaiting,jpn,継続デューデリジェンス準備中,継続DD準備中,12,
dd_step,pre_dd_ai,eng,Pre DD AI Process,Pre DD AI,1,
dd_step,pre_dd_ai,jpn,デューデリジェンス準備AI処理,DD準備AI処理,1,
dd_step,pre_dd_review,eng,Pre DD Review,Pre DD Review,2,
dd_step,pre_dd_review,jpn,デューデリジェンス準備再鑑,DD準備再鑑,2,
dd_step,pre_dd_approval,eng,Pre DD Approval,Pre DD Approval,3,
dd_step,pre_dd_approval,jpn,デューデリジェンス準備承認,DD準備承認,3,
dd_step,add_info_input,eng,Addtional Info Input,Add Info Input,4,
dd_step,add_info_input,jpn,顧客情報追加入力,追加入力,4,
dd_step,add_info_review,eng,Addtional Info Input Review,Add Info Review,5,
dd_step,add_info_review,jpn,顧客情報追加入力再鑑,追加入力再鑑,5,
dd_step,add_info_approval,eng,Addtional Info Input Approval,Add Info Approval,6,
dd_step,add_info_approval,jpn,顧客情報追加入力承認,追加入力承認,6,
dd_step,dd_ai,eng,DD AI Process,DD AI,7,
dd_step,dd_ai,jpn,デューデリジェンスAI処理,DDAI処理,7,
dd_step,dd_review,eng,DD Review,DD Review,8,
dd_step,dd_review,jpn,デューデリジェンス再鑑,DD再鑑,8,
dd_step,dd_approval,eng,DD Approval,DD Approval,9,
dd_step,dd_approval,jpn,デューデリジェンス承認,DD承認,9,
gender,male,eng,Male,Male,1,
gender,male,jpn,男性,男性,1,
gender,female,eng,Female,Female,2,
gender,female,jpn,女性,女性,2,
gender,other,eng,Other,Other,3,
gender,other,jpn,その他,その他,3,
language_code,eng,eng,English,English,1,
language_code,eng,jpn,English,English,1,
language_code,jpn,eng,日本語,日本語,2,
language_code,jpn,jpn,日本語,日本語,2,
language_code,cmn,eng,中文（简体）,中国語（簡体字）,3,
language_code,cmn,jpn,中文（简体）,中国語（簡体字）,3,
language_code,yue,eng,中国語（繁体字）,中国語（繁体字）,4,
language_code,yue,jpn,中国語（繁体字）,中国語（繁体字）,4,
language_code,ind,eng,Bahasa Indonesia,Bahasa Indonesia,5,
language_code,ind,jpn,Bahasa Indonesia,Bahasa Indonesia,5,
language_code,tha,eng,ภาษาไทย,ภาษาไทย,6,
language_code,tha,jpn,ภาษาไทย,ภาษาไทย,6,
language_code,spa,eng,Español,Español,7,
language_code,spa,jpn,Español,Español,7,
language_code,vie,eng,Tiếng Việt,Tiếng Việt,8,
language_code,vie,jpn,Tiếng Việt,Tiếng Việt,8,
payment_method,bank_transfer,eng,Bank Transfer,Bank Transfer,1,
payment_method,bank_transfer,jpn,銀行振込,銀行振込,1,
payment_method,card,eng,Credit/Debit/Prepaid Card,Card,2,
payment_method,card,jpn,クレジット/デビット/プリペイドカード,カード,2,
service_contract_status,contract_info_drafted,eng,Contract Info Drafted,Contract Info Drafted,1,
service_contract_status,contract_info_drafted,jpn,契約情報一時保存,契約情報一時保存,1,
service_contract_status,contract_info_registered,eng,Contract Info Registered,Contract Info Registered,2,
service_contract_status,contract_info_registered,jpn,契約情報登録済,契約情報登録済,2,
service_contract_status,contract_document_sent,eng,Contract Sent,Contract Sent,3,
service_contract_status,contract_document_sent,jpn,契約書送信完了,契約書送信完了,3,
service_contract_status,contract_executed,eng,Contract Executed,Contract Executed,4,
