country_code_alpha3,country_code_alpha2,country_code_numeric,world_region_type,world_region_code,selectable,display_order,remarks,created_at,updated_at,deleted_at
GAB,GA,266,world_region,africa,false,,ガボン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GEO,GE,268,world_region,asia,false,,ジョージア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GGY,GG,831,world_region,europe,false,,ガーンジー,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GHA,GH,288,world_region,africa,false,,ガーナ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GIB,GI,292,world_region,europe,false,,ジブラルタル,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GIN,GN,324,world_region,africa,false,,ギニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GLP,GP,312,world_region,north_america,false,,グアドループ島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GMB,GM,270,world_region,africa,false,,ガンビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GNB,GW,624,world_region,africa,false,,ギニアビサウ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GNQ,GQ,226,world_region,africa,false,,赤道ギニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GRC,GR,300,world_region,europe,false,,ギリシャ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GRD,GD,308,world_region,north_america,false,,グレナダ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GRL,GL,304,world_region,north_america,false,,グリーンランド,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GTM,GT,320,world_region,north_america,false,,グアテマラ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GUF,GF,254,world_region,south_america,false,,仏領ギアナ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GUM,GU,316,world_region,oceania,false,,グアム,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
GUY,GY,328,world_region,south_america,false,,ガイアナ協同共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
HKG,HK,344,world_region,asia,false,,ホンコン (香港),2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
HMD,HM,334,world_region,oceania,false,,ヘアド島・マクドナルド諸島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
HND,HN,340,world_region,north_america,false,,ホンジュラス共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
HRV,HR,191,world_region,europe,false,,クロアチア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
HTI,HT,332,world_region,north_america,false,,ハイチ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
HUN,HU,348,world_region,europe,false,,ハンガリー共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
IMN,IM,833,world_region,europe,false,,マン島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
IND,IN,356,world_region,asia,false,,インド,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
IOT,IO,86,world_region,asia,false,,英領インド洋地域,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
IRL,IE,372,world_region,europe,false,,アイルランド,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
IRN,IR,364,world_region,asia,false,,イラン・イスラム共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
IRQ,IQ,368,world_region,asia,false,,イラク共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ISL,IS,352,world_region,europe,false,,アイスランド共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ISR,IL,376,world_region,asia,false,,イスラエル国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
ITA,IT,380,world_region,europe,false,,イタリア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
JAM,JM,388,world_region,north_america,false,,ジャマイカ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
JEY,JE,832,world_region,europe,false,,ジャージー,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
JOR,JO,400,world_region,asia,false,,ヨルダン・ハシミテ王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KAZ,KZ,398,world_region,asia,false,,カザフスタン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KEN,KE,404,world_region,africa,false,,ケニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KGZ,KG,417,world_region,asia,false,,キルギス共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KHM,KH,116,world_region,asia,false,,カンボジア王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KIR,KI,296,world_region,oceania,false,,キリバス共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KNA,KN,659,world_region,north_america,false,,セントクリストファー・ネイビス,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KOR,KR,410,world_region,asia,false,,大韓民国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
KWT,KW,414,world_region,asia,false,,クウェート国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LAO,LA,418,world_region,asia,false,,ラオス人民民主共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LBN,LB,422,world_region,asia,false,,レバノン共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LBR,LR,430,world_region,africa,false,,リベリア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LBY,LY,434,world_region,africa,false,,リビア国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LCA,LC,662,world_region,north_america,false,,セントルシア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LIE,LI,438,world_region,europe,false,,リヒテンシュタイン公国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LKA,LK,144,world_region,asia,false,,スリランカ民主社会主義共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LSO,LS,426,world_region,africa,false,,レソト王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LTU,LT,440,world_region,europe,false,,リトアニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LUX,LU,442,world_region,europe,false,,ルクセンブルク大公国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
LVA,LV,428,world_region,europe,false,,ラトビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MAC,MO,446,world_region,asia,false,,マカオ(澳門),2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MAF,MF,663,world_region,north_america,false,,サン・マルタン,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MAR,MA,504,world_region,africa,false,,モロッコ王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MCO,MC,492,world_region,europe,false,,モナコ公国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MDA,MD,498,world_region,europe,false,,モルドバ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MDG,MG,450,world_region,africa,false,,マダガスカル共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MDV,MV,462,world_region,asia,false,,モルディブ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MEX,MX,484,world_region,north_america,false,,メキシコ合衆国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MHL,MH,584,world_region,oceania,false,,マーシャル諸島共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MKD,MK,807,world_region,europe,false,,北マケドニア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MLI,ML,466,world_region,africa,false,,マリ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MLT,MT,470,world_region,europe,false,,マルタ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MMR,MM,104,world_region,asia,false,,ミャンマー連邦,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MNE,ME,499,world_region,europe,false,,モンテネグロ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MNG,MN,496,world_region,asia,false,,モンゴル国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MNP,MP,580,world_region,oceania,false,,北マリアナ諸島自治連邦区,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MOZ,MZ,508,world_region,africa,false,,モザンビーク共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MRT,MR,478,world_region,africa,false,,モーリタニア・イスラム共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MSR,MS,500,world_region,north_america,false,,モントセラト,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MTQ,MQ,474,world_region,north_america,false,,マルティニーク島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MUS,MU,480,world_region,africa,false,,モーリシャス共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MWI,MW,454,world_region,africa,false,,マラウイ共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MYS,MY,458,world_region,asia,false,,マレーシア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
MYT,YT,175,world_region,africa,false,,マヨット島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NAM,NA,516,world_region,africa,false,,ナミビア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NCL,NC,540,world_region,oceania,false,,ニューカレドニア,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NER,NE,562,world_region,africa,false,,ニジェール共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NFK,NF,574,world_region,oceania,false,,ノーフォーク島,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NGA,NG,566,world_region,africa,false,,ナイジェリア連邦共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NIC,NI,558,world_region,north_america,false,,ニカラグア共和国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NIU,NU,570,world_region,oceania,false,,ニウエ,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
NLD,NL,528,world_region,europe,false,,オランダ王国,2025-07-08 19:15:04.993,2025-07-08 19:15:04.993,
