"selection_item_translation_id","selection_item_type","selection_item_code","language_code","selection_item_name","selection_item_short_name","remarks","created_at","updated_at","deleted_at"
279,dd_relation_type,executive_of_indirect_investee,eng,Executive of Indirect Investee,Executive of Indirect Investee,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
280,dd_status,cdd_awaiting,eng,Continuous DD Awaiting,CDD Awaiting,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
281,dd_status,pre_dd_ai_started,eng,Pre DD AI Process Started,AI PRE DD Started,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
282,dd_status,pre_dd_ai_completed,eng,Pre DD AI Process Completed,AI PRE DD Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
283,dd_status,pre_dd_review_completed,eng,Pre DD Review Completed,PRE DD Review Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
284,dd_status,pre_dd_approve_completed,eng,Pre DD Approve Completed,PRE DD Approve Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
285,dd_status,add_info_input_requested,eng,Addtional Info Input Requested,Add Info Input Requested,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
286,dd_status,add_info_input_completed,eng,Addtional Info Input Completed,Add Info Input Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
287,dd_status,add_info_review_completed,eng,Addtional Info Input Review Completed,Add Info Input Review Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
288,dd_status,add_info_approve_completed,eng,Addtional Info Input Approve Completed,Add Info Input Approve Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
289,dd_status,dd_ai_started,eng,DD AI Process Started,AI DD Started,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
290,dd_status,dd_ai_completed,eng,DD AI Process Completed,AI DD Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
291,dd_status,dd_review_completed,eng,DD Review Completed,DD Review Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
292,dd_status,dd_approve_completed,eng,DD Approve Completed,DD Approve Completed,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
293,dd_step_type,pre_dd_ai,eng,Pre DD AI Process,Pre DD AI,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
294,dd_step_type,pre_dd_review,eng,Pre DD Review,Pre DD Review,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
295,dd_step_type,pre_dd_approve,eng,Pre DD Approve,Pre DD Approve,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
296,dd_step_type,add_info_input,eng,Addtional Info Input,Add Info Input,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
297,dd_step_type,dd_ai,eng,DD AI Process,DD AI,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
298,dd_step_type,dd_review,eng,DD Review,DD Review,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
299,dd_step_type,dd_approve,eng,DD Approve,DD Approve,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
300,dd_result_type,registry_acquisition,eng,Corporate Registry information Acquisition,Registry Acquisition,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
301,dd_result_type,stakeholder_acquisition,eng,Shareholder & Officer Information Acquisition,Stakeholder Acquisition,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
302,dd_result_type,industry_screening,eng,Industry / Business-type Screening,Industry Screening,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
303,dd_result_type,risk_screening,eng,Customer Risk-Level Screening,Risk Screening,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
304,dd_result_type,add_info_entry,eng,Additional Customer Information Entry,Add'l Info Entry,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
305,dd_result_type,asf_acreening,eng,Anti-Social Forces Screening,ASF Screening,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
306,dd_result_type,reputation_screening,eng,Reputation Screening,Reputation Screening,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
307,dd_result_code,ok,eng,OK,OK,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
308,dd_result_code,ng,eng,NG,NG,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
309,dd_result_code,high_risk,eng,HIGH RISK,HIGH,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
310,dd_result_code,low_risk,eng,LOW RISK,LOW,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
311,dd_result_code,suspicious,eng,Suspicious,Suspicious,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
312,dd_result_code,no_problem,eng,No Problem,No Problem,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
313,customer_status,customer_registered,jpn,顧客基本情報登録完了,顧客登録完了,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
314,customer_status,dd_started,jpn,デューデリジェンス処理開始,顧客審査開始,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
315,customer_status,dd_completed,jpn,デューデリジェンス処理完了,顧客審査完了,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
316,customer_status,contract_proc_started,jpn,サービス契約手続開始,契約手続開始,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
317,customer_status,contract_proc_completed,jpn,サービス契約手続完了,契約手続完了,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
318,customer_status,active,jpn,利用中,利用中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
319,customer_status,all_paused,jpn,全サービス利用停止中,全サービス利用,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
320,customer_status,all_suspended,jpn,全サービス利用停止中（疑義あり）,停止中,赤字表示,2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
321,customer_status,all_closed,jpn,全サービス利用終了,全サービス利用停止中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
322,customer_status,all_terminated,jpn,全サービス利用終了（疑義あり）,全サービス利用終了,赤字表示,2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
323,company_type,public,jpn,上場,上場,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
324,company_type,private,jpn,非上場,非上場,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
325,user_status,active,jpn,利用中,利用中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
326,user_status,all_paused,jpn,全サービス利用停止中,全サービス利用停止中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
327,user_status,all_suspended,jpn,全サービス利用停止中（疑義あり）,全サービス利用停止中,赤字表示,2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
328,user_status,all_closed,jpn,全サービス利用終了,全サービス利用終了,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
329,user_status,all_terminated,jpn,全サービス利用終了（疑義あり）,全サービス利用終了,赤字表示,2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
330,gender,male,jpn,男性,男性,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
331,gender,female,jpn,女性,女性,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
332,gender,other,jpn,その他,その他,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
333,world_region,asia,jpn,アジア,アジア,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
334,world_region,europe,jpn,ヨーロッパ,ヨーロッパ,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
335,world_region,north_america,jpn,北アメリカ,北アメリカ,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
336,world_region,south_america,jpn,南アメリカ,南アメリカ,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
337,world_region,africa,jpn,アフリカ,アフリカ,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
338,world_region,oceania,jpn,オセアニア,オセアニア,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
339,service_status,preparing,jpn,準備中,準備中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
340,service_status,active,jpn,稼動中,稼動中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
341,service_status,suspended,jpn,停止中,停止中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
342,service_status,terminated,jpn,終了,終了,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
343,service_plan_status,preparing,jpn,準備中,準備中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
344,service_plan_status,active,jpn,稼動中,稼動中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
345,service_plan_status,suspended,jpn,停止中,停止中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
346,service_plan_status,terminated,jpn,終了,終了,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
347,service_usage_status,awaiting_activation,jpn,サービス利用準備中,利用準備中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
348,service_usage_status,active,jpn,サービス利用中,利用中,"",2025-07-08 19:14:40.711,2025-07-08 19:14:40.711,
